"Quantity","Recorder","Order","Item key"
"200,000","Purchase order 6 dated 07.10.2021 14:59:06","Purchase order 6 dated 07.10.2021 14:59:06","S/Yellow"
"200,000","Purchase order 6 dated 07.10.2021 14:59:06","Purchase order 6 dated 07.10.2021 14:59:06","XS/Blue"
"200,000","Purchase order 6 dated 07.10.2021 14:59:06","Purchase order 6 dated 07.10.2021 14:59:06","M/White"
"200,000","Purchase order 6 dated 07.10.2021 14:59:06","Purchase order 6 dated 07.10.2021 14:59:06","XL/Green"
"200,000","Purchase order 6 dated 07.10.2021 14:59:06","Purchase order 6 dated 07.10.2021 14:59:06","36/Yellow"
"200,000","Purchase order 6 dated 07.10.2021 14:59:06","Purchase order 6 dated 07.10.2021 14:59:06","38/Yellow"
"200,000","Purchase order 6 dated 07.10.2021 14:59:06","Purchase order 6 dated 07.10.2021 14:59:06","36/Red"
"200,000","Purchase order 6 dated 07.10.2021 14:59:06","Purchase order 6 dated 07.10.2021 14:59:06","38/Black"
"200,000","Purchase order 6 dated 07.10.2021 14:59:06","Purchase order 6 dated 07.10.2021 14:59:06","36/18SD"
"200,000","Purchase order 6 dated 07.10.2021 14:59:06","Purchase order 6 dated 07.10.2021 14:59:06","37/18SD"
"200,000","Purchase order 6 dated 07.10.2021 14:59:06","Purchase order 6 dated 07.10.2021 14:59:06","38/18SD"
"200,000","Purchase order 6 dated 07.10.2021 14:59:06","Purchase order 6 dated 07.10.2021 14:59:06","39/18SD"
