"Ref","Key","ItemKey","Price"
"e1cib/data/Document.PriceList?ref=aa78120ed92fbced11eaf118bdb7bb7b","bd2ac874-cdf9-4065-abb2-294941f618c8","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c5fb","550"
"e1cib/data/Document.PriceList?ref=aa78120ed92fbced11eaf118bdb7bb7b","9fde79c5-277c-453f-a31e-7d8838f59a49","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c5fc","520"
"e1cib/data/Document.PriceList?ref=aa78120ed92fbced11eaf118bdb7bb7b","c6f976a9-857c-4bd8-94b3-84695a2d1795","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c5fd","520"
"e1cib/data/Document.PriceList?ref=aa78120ed92fbced11eaf118bdb7bb7b","4246a9ab-39a1-4b38-a48d-d2c0b5b0b4cf","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c5fe","550"
"e1cib/data/Document.PriceList?ref=aa78120ed92fbced11eaf118bdb7bb7b","73035465-fffc-45d7-b6f0-d14eaf3ba756","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c5ff","550"
"e1cib/data/Document.PriceList?ref=aa78120ed92fbced11eaf118bdb7bb7b","da842a4c-7023-4390-9994-8709c87acb73","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c600","400"
"e1cib/data/Document.PriceList?ref=aa78120ed92fbced11eaf118bdb7bb7b","93b8e03f-d50d-44cf-82a9-1f01ad0330e3","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c601","400"
"e1cib/data/Document.PriceList?ref=aa78120ed92fbced11eaf118bdb7bb7b","c5ee646a-f2e2-453e-87c7-45a8922c2a1a","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c602","350"
"e1cib/data/Document.PriceList?ref=aa78120ed92fbced11eaf118bdb7bb7b","66a33f34-8255-4b3f-b380-3e2732e49e27","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c603","350"
"e1cib/data/Document.PriceList?ref=aa78120ed92fbced11eaf118bdb7bb7b","d0537eb8-7437-4302-b576-7a8559779aca","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c604","700"
"e1cib/data/Document.PriceList?ref=aa78120ed92fbced11eaf118bdb7bb7b","c9e7a2ca-b6af-43e8-8aa3-e83899236aee","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c605","700"
"e1cib/data/Document.PriceList?ref=aa78120ed92fbced11eaf118bdb7bb7b","68e0cf24-21ef-4bc9-931b-f5601faf9694","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c606","650"
"e1cib/data/Document.PriceList?ref=aa78120ed92fbced11eaf118bdb7bb7b","52adfeba-6f0f-4c97-af79-2a421b56e6c6","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c607","650"
"e1cib/data/Document.PriceList?ref=aa78120ed92fbced11eaf118bdb7bb7b","82a138de-d06f-40c5-ae0a-139624685d2f","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c608","500"
"e1cib/data/Document.PriceList?ref=aa78120ed92fbced11eaf118bdb7bb7b","878d68e2-5da9-4eac-abf5-489a6d77c853","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c609","540"
"e1cib/data/Document.PriceList?ref=aa78120ed92fbced11eaf118bdb7bb7b","cc5fd338-5820-4367-b653-cbc4ab5398f0","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c60f","5 000"
"e1cib/data/Document.PriceList?ref=aa78120ed92fbced11eaf118bdb7bb7b","3b695b4e-16b3-4af3-b879-9dc99d0f7840","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c60e","3 000"
"e1cib/data/Document.PriceList?ref=aa78120ed92fbced11eaf118bdb7bb7b","7d6e2928-04e1-4403-aa1c-c044e9b54bf8","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf11df09c894a","500"
