"Inventory transfer 201 dated 01.03.2021 09:55:16","","","","",""
"Document registrations records","","","","",""
"Register  ""R4010 Actual stocks""","","","","",""
"","Record type","Period","Resources","Dimensions",""
"","","","Quantity","Store","Item key"
"","Receipt","*","2","Store 03","36/Yellow"
"","Receipt","*","10","Store 03","S/Yellow"
"","Receipt","*","10","Store 03","XS/Blue"
"","Receipt","*","15","Store 03","36/Red"
"","Expense","*","2","Store 02","36/Yellow"
"","Expense","*","10","Store 02","S/Yellow"
"","Expense","*","10","Store 02","XS/Blue"
"","Expense","*","15","Store 02","36/Red"
