"Period","Recorder","LineNumber","Active","PriceType","ItemKey","Price"
"01.11.2018 12:32:21","e1cib/data/Document.PriceList?ref=aa78120ed92fbced11eaf118bdb7bb7b","1","True","e1cib/data/Catalog.PriceTypes?ref=aa78120ed92fbced11eaf114c59eeffe","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c5fb","550"
"01.11.2018 12:32:21","e1cib/data/Document.PriceList?ref=aa78120ed92fbced11eaf118bdb7bb7b","2","True","e1cib/data/Catalog.PriceTypes?ref=aa78120ed92fbced11eaf114c59eeffe","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c5fc","520"
"01.11.2018 12:32:21","e1cib/data/Document.PriceList?ref=aa78120ed92fbced11eaf118bdb7bb7b","3","True","e1cib/data/Catalog.PriceTypes?ref=aa78120ed92fbced11eaf114c59eeffe","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c5fd","520"
"01.11.2018 12:32:21","e1cib/data/Document.PriceList?ref=aa78120ed92fbced11eaf118bdb7bb7b","4","True","e1cib/data/Catalog.PriceTypes?ref=aa78120ed92fbced11eaf114c59eeffe","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c5fe","550"
"01.11.2018 12:32:21","e1cib/data/Document.PriceList?ref=aa78120ed92fbced11eaf118bdb7bb7b","5","True","e1cib/data/Catalog.PriceTypes?ref=aa78120ed92fbced11eaf114c59eeffe","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c5ff","550"
"01.11.2018 12:32:21","e1cib/data/Document.PriceList?ref=aa78120ed92fbced11eaf118bdb7bb7b","6","True","e1cib/data/Catalog.PriceTypes?ref=aa78120ed92fbced11eaf114c59eeffe","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c600","400"
"01.11.2018 12:32:21","e1cib/data/Document.PriceList?ref=aa78120ed92fbced11eaf118bdb7bb7b","7","True","e1cib/data/Catalog.PriceTypes?ref=aa78120ed92fbced11eaf114c59eeffe","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c601","400"
"01.11.2018 12:32:21","e1cib/data/Document.PriceList?ref=aa78120ed92fbced11eaf118bdb7bb7b","8","True","e1cib/data/Catalog.PriceTypes?ref=aa78120ed92fbced11eaf114c59eeffe","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c602","350"
"01.11.2018 12:32:21","e1cib/data/Document.PriceList?ref=aa78120ed92fbced11eaf118bdb7bb7b","9","True","e1cib/data/Catalog.PriceTypes?ref=aa78120ed92fbced11eaf114c59eeffe","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c603","350"
"01.11.2018 12:32:21","e1cib/data/Document.PriceList?ref=aa78120ed92fbced11eaf118bdb7bb7b","10","True","e1cib/data/Catalog.PriceTypes?ref=aa78120ed92fbced11eaf114c59eeffe","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c604","700"
"01.11.2018 12:32:21","e1cib/data/Document.PriceList?ref=aa78120ed92fbced11eaf118bdb7bb7b","11","True","e1cib/data/Catalog.PriceTypes?ref=aa78120ed92fbced11eaf114c59eeffe","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c605","700"
"01.11.2018 12:32:21","e1cib/data/Document.PriceList?ref=aa78120ed92fbced11eaf118bdb7bb7b","12","True","e1cib/data/Catalog.PriceTypes?ref=aa78120ed92fbced11eaf114c59eeffe","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c606","650"
"01.11.2018 12:32:21","e1cib/data/Document.PriceList?ref=aa78120ed92fbced11eaf118bdb7bb7b","13","True","e1cib/data/Catalog.PriceTypes?ref=aa78120ed92fbced11eaf114c59eeffe","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c607","650"
"01.11.2018 12:32:21","e1cib/data/Document.PriceList?ref=aa78120ed92fbced11eaf118bdb7bb7b","14","True","e1cib/data/Catalog.PriceTypes?ref=aa78120ed92fbced11eaf114c59eeffe","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c608","500"
"01.11.2018 12:32:21","e1cib/data/Document.PriceList?ref=aa78120ed92fbced11eaf118bdb7bb7b","15","True","e1cib/data/Catalog.PriceTypes?ref=aa78120ed92fbced11eaf114c59eeffe","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c609","540"
"01.11.2018 12:32:21","e1cib/data/Document.PriceList?ref=aa78120ed92fbced11eaf118bdb7bb7b","16","True","e1cib/data/Catalog.PriceTypes?ref=aa78120ed92fbced11eaf114c59eeffe","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c60f","5 000"
"01.11.2018 12:32:21","e1cib/data/Document.PriceList?ref=aa78120ed92fbced11eaf118bdb7bb7b","17","True","e1cib/data/Catalog.PriceTypes?ref=aa78120ed92fbced11eaf114c59eeffe","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c60e","3 000"
