"Prices on 12.12.2019","","","","",""
"","","","","",""
"Item","Item Key","Basic Price Types","","Basic Price without VAT",""
"","","Price","Reason","Price","Reason"
"Dress","S/Yellow","550","Item key = S/Yellow","466,1","Item key = S/Yellow"
"Dress","XS/Blue","520","Item key = XS/Blue","440,68","Item key = XS/Blue"
"Dress","M/White","520","Item key = M/White","440,68","Item key = M/White"
"Dress","L/Green","550","Item key = L/Green","466,1","Item key = L/Green"
"Dress","XL/Green","550","Item key = XL/Green","466,1","Item key = XL/Green"
"Dress","Dress/A-8","3 000","SpecificationDress/A-8","",""
"","","","","",""
"All prices","","","","",""
"","","","","",""
"Item","Item Key","Basic Price Types","","Basic Price without VAT",""
"","","","","",""
"1. By item keys","","","","",""
"Dress","S/Yellow","550","","466,1",""
"Dress","XS/Blue","520","","440,68",""
"Dress","M/White","520","","440,68",""
"Dress","L/Green","550","","466,1",""
"Dress","XL/Green","550","","466,1",""
"2. By properties","","","","",""
"3. By items","","","","",""
