"Ref","Key","ItemKey","Store","Unit","Quantity","ReceiptBasis","SalesOrder"
"e1cib/data/Document.GoodsReceipt?ref=aa78120ed92fbced11eaf11992f9b8e5","40f8d79f-8c45-42d0-a326-3cbb2e7c935f","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c5fb","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00d","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","250","e1cib/data/Document.PurchaseInvoice?ref=aa78120ed92fbced11eaf11992f9b8e4",""
"e1cib/data/Document.GoodsReceipt?ref=aa78120ed92fbced11eaf11992f9b8e5","251182b7-e4ab-4adf-8bb3-ee2d100c31d3","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c5fc","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00d","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","200","e1cib/data/Document.PurchaseInvoice?ref=aa78120ed92fbced11eaf11992f9b8e4",""
"e1cib/data/Document.GoodsReceipt?ref=aa78120ed92fbced11eaf11992f9b8e5","01d237ef-e6ed-455b-a084-ad8b900bb263","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c5fd","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00d","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","200","e1cib/data/Document.PurchaseInvoice?ref=aa78120ed92fbced11eaf11992f9b8e4",""
"e1cib/data/Document.GoodsReceipt?ref=aa78120ed92fbced11eaf11992f9b8e5","dc61f375-eaad-4ec2-81f7-e984d3c0beb4","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c5ff","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00d","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","200","e1cib/data/Document.PurchaseInvoice?ref=aa78120ed92fbced11eaf11992f9b8e4",""
"e1cib/data/Document.GoodsReceipt?ref=aa78120ed92fbced11eaf11992f9b8e5","6217ace8-67ce-45f9-af84-0b9c5156e40d","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c600","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00d","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","200","e1cib/data/Document.PurchaseInvoice?ref=aa78120ed92fbced11eaf11992f9b8e4",""
"e1cib/data/Document.GoodsReceipt?ref=aa78120ed92fbced11eaf11992f9b8e5","d3eb0236-1435-48d9-990f-70c3da932dc2","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c601","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00d","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","200","e1cib/data/Document.PurchaseInvoice?ref=aa78120ed92fbced11eaf11992f9b8e4",""
"e1cib/data/Document.GoodsReceipt?ref=aa78120ed92fbced11eaf11992f9b8e5","a077758b-26c0-488f-b259-7c3c6c2af3c0","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c602","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00d","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","200","e1cib/data/Document.PurchaseInvoice?ref=aa78120ed92fbced11eaf11992f9b8e4",""
"e1cib/data/Document.GoodsReceipt?ref=aa78120ed92fbced11eaf11992f9b8e5","40063a25-6928-4502-8ad1-871d3ce31325","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c603","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00d","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","200","e1cib/data/Document.PurchaseInvoice?ref=aa78120ed92fbced11eaf11992f9b8e4",""
"e1cib/data/Document.GoodsReceipt?ref=aa78120ed92fbced11eaf11992f9b8e5","1815ad21-ce70-460f-b63d-2662566864f2","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c604","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00d","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","200","e1cib/data/Document.PurchaseInvoice?ref=aa78120ed92fbced11eaf11992f9b8e4",""
"e1cib/data/Document.GoodsReceipt?ref=aa78120ed92fbced11eaf11992f9b8e5","d90e3864-11d9-463a-85e5-81b99f023cfd","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c605","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00d","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","200","e1cib/data/Document.PurchaseInvoice?ref=aa78120ed92fbced11eaf11992f9b8e4",""
