"Opening entry 3 dated 07.09.2020 21:26:50","","","","","","","","","","","",""
"Document registrations records","","","","","","","","","","","",""
"Register  ""R1020 Advances to vendors""","","","","","","","","","","","",""
"","Record type","Period","Resources","Dimensions","","","","","","","Attributes",""
"","","","Amount","Company","Branch","Multi currency movement type","Currency","Legal name","Partner","Basis","Deferred calculation","Vendors advances closing"
"","Receipt","07.09.2020 21:26:50","17","Main Company","Front office","Reporting currency","USD","Company Ferron BP","Ferron BP","Opening entry 3 dated 07.09.2020 21:26:50","No",""
"","Receipt","07.09.2020 21:26:50","100","Main Company","Front office","Local currency","TRY","Company Ferron BP","Ferron BP","Opening entry 3 dated 07.09.2020 21:26:50","No",""
"","Receipt","07.09.2020 21:26:50","100","Main Company","Front office","en description is empty","TRY","Company Ferron BP","Ferron BP","Opening entry 3 dated 07.09.2020 21:26:50","No",""
"","Receipt","07.09.2020 21:26:50","200","Main Company","Front office","en description is empty","EUR","Big foot","Big foot","Opening entry 3 dated 07.09.2020 21:26:50","No",""
"","Receipt","07.09.2020 21:26:50","1 100","Main Company","Front office","Reporting currency","USD","Big foot","Big foot","Opening entry 3 dated 07.09.2020 21:26:50","No",""
"","Receipt","07.09.2020 21:26:50","1 200","Main Company","Front office","Local currency","TRY","Big foot","Big foot","Opening entry 3 dated 07.09.2020 21:26:50","No",""
